model,mae,rmse,mape,smape
LightGBM,311.242780098227,424.0500166776571,1.0614321802087674,1.065526183038676
XGBoost,464.92175800978566,648.9314555286785,1.5719750799719652,1.585957120265449
Seasonal Naive (h-168),1698.4481470959583,2192.5891959606515,5.819317433969315,5.874556841470328
Naive (h-24),3007.463390151515,3669.456856878816,10.371964123604634,10.655202044291197
REE Oficial,636573.15875,638029.7490766693,2178.1572927746674,183.17543053829374
