model,mae,rmse,mape,smape
LightGBM,453.0957627112767,767.3382807917844,1.624581252380698,1.6010558401179587
XGBoost,483.74518708257483,808.6058329810722,1.7271231593734961,1.7029168684185338
Seasonal Naive (semana anterior),1271.7001745598054,1880.0020858816283,4.493070785717932,4.400494843086466
Naive (día anterior),1726.8095461445052,2390.264269343849,6.1328333762790805,6.189225407807656
